sample_id,route_file_sha256,map_id,route_id,label_status,true_label,vehicle_structure,vehicle_structure_evidence,vehicle_axis_count,source_machine,match_status,vehicle_configuration_fingerprint_summary,feature_version,feature_source,feature_missing_reason,route_length_m,point_count,sampling_spacing_mean_m,sampling_spacing_median_m,sampling_spacing_p95_m,curvature_mean_1pm,curvature_abs_mean_1pm,curvature_abs_max_1pm,curvature_abs_p50_1pm,curvature_abs_p90_1pm,curvature_abs_p95_1pm,curvature_abs_p99_1pm,curvature_change_abs_mean_1pm2,curvature_change_abs_max_1pm2,curvature_change_abs_p95_1pm2,slope_mean,slope_abs_mean,slope_abs_max,slope_abs_p95,slope_change_abs_mean_1pm,slope_change_abs_max_1pm,slope_change_abs_p95_1pm,speed_mean_mps,speed_max_mps,speed_p50_mps,speed_p90_mps,speed_p95_mps,speed_abs_curvature_product_mean_mpspm,speed_abs_curvature_product_p95_mpspm,lateral_accel_proxy_mean_mps2,lateral_accel_proxy_max_mps2,lateral_accel_proxy_p95_mps2,speed_abs_curvature_correlation,steer_abs_mean_rad,steer_abs_max_rad,steer_abs_p50_rad,steer_abs_p90_rad,steer_abs_p95_rad,steer_change_abs_mean_radpm,steer_change_abs_max_radpm,steer_change_abs_p95_radpm,yaw_rate_abs_mean_radps,yaw_rate_abs_max_radps,yaw_rate_abs_p95_radps,yaw_rate_change_abs_mean_radps_per_m,yaw_rate_change_abs_max_radps_per_m,yaw_rate_change_abs_p95_radps_per_m,static_left_clearance_min_m,static_right_clearance_min_m,static_boundary_clearance_min_m,window10m_max_mean_abs_curvature_1pm,window10m_max_mean_abs_steer_change_radpm,window10m_min_mean_left_clearance_m,window10m_min_mean_right_clearance_m,steering_source_dim,model_score,frozen_geometry_rule_score,minimum_clearance_score
sample_3b8da6914037a98350b7,36477e70f411058be03ea4aa7f316b5d716baa80d0967794bd82d40424432bc5,map_019,map_019,final,1,unknown,unknown,,RECOVERED_LOCAL_local,v3_exact_match,derived-1c6f954ff7dc8568,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,858.8595657356339,4296,0.1999673028488088,0.1999999999999886,0.2000000000000454,0.0006601637025235,0.0020746925937176,0.0193191668030155,7.160999108089827e-05,0.0091395699797967,0.0164289800357942,0.0191995550566233,0.0002668059947601,0.0090724234030475,0.001653465867433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.35622153124733,43.69575633223085,30.5174552495668,39.96803296792648,41.54653219715111,0.0365245416587944,0.2501422522293244,0.6731973696265713,6.172040312222016,4.222461496224306,-0.502077078435108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363409536817747,0.3452033126036083,0.2501422522293244,0.0042559218996104,0.1208934442968196,0.0245553538864807,3.8743427496134863,2.908895553691732,2.908895553691732,0.0192593623612153,0.0,3.880834352292832,2.948166444600407,12,0.5510974,0.3739051094890511,-2.908895553691732
sample_3cf21a3027da833922e5,ebbb1631562f1299498de518037fa315ee6a00b69f90bed3b3b9087862ee3700,map_020,map_020,final,1,five_axis,explicit,5.0,RECOVERED_LOCAL_local,v3_exact_match,ee1b968983f0d0d8,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,1168.9636531017609,5846,0.1999937815400788,0.2000000000000028,0.2000000000000454,0.0015807068663053,0.0036918387901466,0.0192875875061602,0.0024549903456304,0.0126434451164581,0.0168633204817169,0.0190780795650715,0.0002077905383012,0.0265834986637895,0.0010065078580587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.764842593994986,28.05928735476073,15.295960192220598,23.717359360564,25.767686689961263,0.0503072199300335,0.205434546712784,0.7662804321264283,4.155997300549166,2.721089436484456,-0.3007979813047858,0.0226381781826191,0.1193642168500859,0.0149294293210599,0.0777720580836956,0.1041437173839742,0.0012497395153089,0.1242297008457776,0.0061104420395235,0.0503072199300335,0.2830536461471933,0.205434546712784,0.0031309128464046,0.3531692164620482,0.0112059724441156,3.927898175002477,3.546701864763492,3.546701864763492,0.0192301187138076,0.011994051600902,3.9295463486753888,3.758241891032796,10,0.57754554,0.3548053527980535,-3.546701864763492
sample_3ee863f16cacf81f8bc0,def7e147c38cb5ad8ea4895a39cae4648d6389233ae45cf72613c6cc06ce6cec,map_002,map_002,final,0,six_axis,explicit,6.0,RECOVERED_LOCAL_local,v3_exact_match,d46c9e86aea3de5c,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,212.38138547425845,1063,0.1999824721979834,0.2000000000000028,0.200000000000017,0.0004229310486121,0.018497826529401,0.1302487252932449,0.0124468420329026,0.0501813387857036,0.0696535496216832,0.1007207254504947,0.0061910378698243,0.0885569517840305,0.0350899811471864,-1.6710788705552686e-18,0.0243836312589733,0.2313845043637473,0.0594221982954356,0.0046235818595884,0.1666726301658342,0.0216843055783618,15.702180103183846,26.712399712447937,19.23472427071429,24.20357962630747,26.432883845087147,0.1728230643558751,0.3246731241337268,2.582553426123446,6.039940639159516,5.901282800143996,-0.676385550436115,0.1215641533234718,0.9236579289217026,0.0875588336630522,0.3281362664515713,0.4457447117762133,0.0271979073342376,1.9908007351173216,0.0997829635111227,0.1545193126277759,0.4039797011033215,0.3060124111731112,0.0199668422109119,1.095394068812505,0.0775799549296531,2.4,2.4,2.4,0.0739682962074933,1.250250982220226,2.3999999999999773,2.3999999999999773,12,0.72575392,0.8170113544201136,-2.4
sample_42ec27b90056ff5e0868,201cb2e937e9761bc9f55c22c79f885233342db4e0152128fb71ba155e51b111,map_019,map_019,final,0,unknown,unknown,,RECOVERED_LOCAL_local,v3_exact_match,derived-1c6f954ff7dc8568,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,858.7028123319183,4295,0.199977366635286,0.1999999999999886,0.2000000000000454,0.0006669242492895,0.0023071721770246,0.0212966406243913,0.0009424300894509,0.0060237702623965,0.0103502533386678,0.0208023984556062,0.0003024650577125,0.0024232820120027,0.0010341172484896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4362645582563,32.8585512953726,20.90275673774152,28.11228576539173,29.824221256825084,0.0441202367570548,0.2237069381675617,0.8617718658575447,6.200000097027952,4.584814443868801,-0.2839866329088379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0440691107199473,0.363371946897349,0.2237069381675617,0.0056584475518991,0.0330698428798892,0.018006859037429,3.462579815013564,2.6179586490924818,2.6179586490924818,0.0210567160585001,0.0,3.577176618988839,2.628853394113721,12,0.57787403,0.34732360097323606,-2.6179586490924818
sample_4397b737ca50f5a653c7,7cb9deda8777e980f6fc1eeac763ce72648d2d17da33308b5e558c8ced09118b,map_019,map_019,final,0,unknown,unknown,,RECOVERED_LOCAL_local,v3_exact_match,derived-1c6f954ff7dc8568,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,858.9620436770472,4296,0.1999911626721879,0.1999999999999886,0.2000000000000454,0.0006649475220973,0.0019170249800939,0.0209898976169558,1.0729022494775323e-06,0.0091394390337306,0.0187352605764843,0.0187368426682392,0.0001243816377904,0.0061445000627005,0.0004451050030708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.819752893425285,38.94034519175844,27.996457272204516,34.99853751354949,36.617794067447655,0.0340273905442343,0.2735472855817874,0.6315709748516785,6.149498374576448,4.054708117227676,-0.5357159468671373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0340409879536837,0.3394494868936202,0.2735472855817874,0.002514110759675,0.0878549350071147,0.0104066106377077,2.4,2.4,2.4,0.019092104120585,0.0,2.399999999999636,2.399999999999636,12,0.45948877,0.3791970802919708,-2.4
sample_459708d7cd8e805af73b,ee45a364921c31756cc9a4b12e05c64408cdcbc003e6be6d022d1927e806c105,map_002,map_002,final,0,six_axis,explicit,6.0,RECOVERED_LOCAL_local,v3_exact_match,d46c9e86aea3de5c,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,215.24718946308448,1078,0.1998581146361044,0.2000000000000028,0.200000000000017,-6.571122221531896e-05,0.0141794482593554,0.0850514553387196,0.0096870192136716,0.0340841405587813,0.0599764285765413,0.083049953670501,0.0018916695732439,0.0867750688252488,0.009070696650045,-1.2358697862246639e-17,0.0245406384963343,0.1811304869354362,0.059401479332978,0.0047690008150887,0.1193912602804454,0.0244322919569133,15.242964259867522,26.716507237904576,19.092538932539952,24.174598454303577,26.432761205652444,0.1438399463638635,0.2979312392357851,2.358437947423431,6.03755518638007,5.898394175779597,-0.5057896909667617,0.1472126621364376,0.9839304355329884,0.0877340816957892,0.4670380256078857,0.6419540828817074,0.0719375829208219,1.6107187732282209,0.5027022246502396,0.1479233186494913,0.3110962889232994,0.2980268106957167,0.0343154058248023,0.8306824071126366,0.2121753086559296,2.5109482862687296,2.617690825316477,2.5109482862687296,0.0730068168697761,0.4345602272857682,2.513485903189061,2.8501183110683552,12,0.72031576,0.7901257096512571,-2.5109482862687296
sample_47ada1933da2555c201f,bf244b2011e38b9c58999ef924bcfd715e33b36706a3bda677e748f4c1a010d0,map_019,map_019,final,1,unknown,unknown,,RECOVERED_LOCAL_local,v3_exact_match,derived-1c6f954ff7dc8568,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,858.3512229784395,4293,0.1999886353631033,0.1999999999999886,0.2000000000000454,0.0006728473151681,0.0020147124159783,0.0212048152359856,0.0004992894923445,0.005393825840633,0.0105916909072874,0.0205320923976318,0.0002200548530159,0.0032674699196306,0.000916001275651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.05474814180053,50.0,24.11200797418698,49.49372501467272,50.0,0.0378054577790603,0.1995087070711812,0.7454302179466189,6.0878902480061,3.618871779563404,-0.4273408942323594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386773884789531,0.3574512230835477,0.2067552786014299,0.0041807912581044,0.0320241765471118,0.0159688404812756,2.625199203188654,2.8424599270743816,2.625199203188654,0.0206875734548188,0.0,2.688229740244923,2.8704721912853723,12,0.60163328,0.33582725060827245,-2.625199203188654
sample_49147ada983e2b1185e1,4f34c7faa87f5e5df895f11a0bde31fa7919a318e0a54df458d7a2cd678ae98c,map_008,map_008,final,1,unknown,unknown,,RECOVERED_LOCAL_local,v3_exact_match,derived-1c6f954ff7dc8568,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,341.49105542170827,1709,0.1999362151180961,0.1999999999999975,0.2000000000000355,0.0045952862098156,0.0052573535267326,0.0617377537652619,0.000609685809526,0.0152103845275839,0.0324044516238514,0.060090047618949,0.0004315284532507,0.0088508447724223,0.0022170123484756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.419018777007604,39.67420632281022,22.210465877904053,35.418529589681704,38.40988825663177,0.0585023155397587,0.253712851931604,0.7827668231150132,3.4670722185851197,2.479165265902197,-0.5777168786756516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688626355696445,0.580313020543751,0.3524873849672766,0.005093403303771,0.0861264841796846,0.018284412303275,2.427513731042691,3.2760389948389537,2.427513731042691,0.0572013398105035,0.0,2.5167382137375776,3.338935162358033,12,0.6003001,0.42702757502027583,-2.427513731042691
sample_4bd3e5b8a831c36560cd,7658b1e2052737ce4aa3ccf3c704a5aba700d0bad6c9eb5b504b2e7908993513,map_020,map_020,final,1,unknown,unknown,,RECOVERED_LOCAL_local,v3_exact_match,derived-1c6f954ff7dc8568,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,1169.0815361107664,5847,0.1999797359067339,0.2000000000000028,0.2000000000000454,0.0016017737276071,0.0037771549885683,0.0194651104672799,0.0025098442613729,0.0129778686601282,0.0172511200798638,0.0192086186042979,0.0001995980261377,0.0045232237837168,0.0011401989334513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.92632606727423,39.15233662502991,25.695195669739995,36.704157786567016,37.65842979949615,0.079966986214027,0.2751937165300261,1.86036864335238,6.1786045347888665,5.095851103543083,-0.4648980364537995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0799448956412003,0.3467956455944943,0.2751937165300261,0.0041749650256354,0.0630235029731309,0.0200410255923024,3.993950680590926,3.553416741942464,3.553416741942464,0.0192806949573301,0.0,3.997785100426204,3.7580618996450057,12,0.58980842,0.3774736415247364,-3.553416741942464
sample_4c0f0ce218e0e139ff06,01ceb4d030f51a16958b5ef781e78538e8d5f7d20d5443d4c36e4728a46c573a,map_016,map_016,final,0,five_axis,explicit,5.0,RECOVERED_LOCAL_local,v3_exact_match,4ec13c407273a370,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,228.0047672835792,1148,0.1987835808923968,0.2006240232975074,0.2061429874082648,-0.000680518202169,0.0176083137841776,0.0675756605421042,0.0098845228124165,0.045282058042099,0.0526265015114607,0.065005543095782,0.0016239326582655,0.013172253788276,0.0048141123832475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0951425504324375,14.419354575270448,4.5,11.26157117732946,12.967180195633532,0.0802172874866784,0.2368192568015732,0.3731608178175819,1.3684071259776118,1.0656866556070796,-0.5085361439742565,0.0767074610559651,0.3364796693112712,0.0410598802337133,0.203508434982183,0.2395455741366823,0.0101345001523502,0.046270866958998,0.0325578453124102,0.0919854399340356,0.3418834963061021,0.2854839566386079,0.0116905711215434,0.1877627769333441,0.0349539289569526,1.4999025349203885,1.820616987067756,1.4999025349203885,0.0600594405868638,0.0399687912888978,1.605208630727498,1.895979776321044,1,0.51186007,0.6032238442822385,-1.4999025349203885
