"route_input_hash","route_file_sha256","map","hard_certificate_passed","policy_id","build_family","vehicle_profile_id","vehicle_profile_fingerprint","axle_count","hard_failure_reasons","failure_reasons_union","point_count","route_length_m"
"9cb2d500963a7effe7006a0fc8e1c731d439637973d0c8f749c9596c0c4c4a40","def7e147c38cb5ad8ea4895a39cae4648d6389233ae45cf72613c6cc06ce6cec","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio","maximum_slip_ratio","1063","212.38138547425845"
"a7614d7f105d7757e18e047a9b18743ade17d790300e7cd5ed93200be541d2e0","7dd3b3ae8acee211a730d482ec4051bd4fd30757932618565667c63540a791ee","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio","maximum_slip_ratio","1063","212.38138547425845"
"a94ef46d8686ac40a56f4cf71ff97662d8cc3a967814be7d234253a161dd421a","b7142e5c2023b610562b2e50a1b44caf25e659806c85b012d61d04da59621ca5","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio","maximum_slip_ratio","1078","215.24718946308448"
"b69d8123398058ed24cf1627320153f351223598967ec098b59e4df73773908c","954d4af771261c3623ef5d34969a1d99460e3857d07f7a915b53ac8f297a8a68","bridge_4","0","[0.05, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","closed_loop_pcd_clearance|maximum_slip_ratio","closed_loop_pcd_clearance|maximum_slip_ratio","1078","215.24718946308448"
"ba8c27c8234d081b34750083f5c57705aa5cadae9cda02c5224b808ec0461b1e","a90a4409db31b48800124c25b4eaa8203b612b0bb03a5e4cf98266ff0ff56175","bridge_4","0","[0.05, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","closed_loop_pcd_clearance|maximum_slip_ratio","closed_loop_pcd_clearance|maximum_slip_ratio","1078","215.24718946308448"
"d0519e98f64e8d947100a538f874007b2b5881358b9d2364be238963df4c0cae","8dc10e92a413d33fe117724f004d3e16bee8f872f66026a5f8e12f94cae7df05","bridge_4","0","[0.05, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","closed_loop_pcd_clearance|maximum_slip_ratio|maximum_tire_utilization","closed_loop_pcd_clearance|maximum_slip_ratio|maximum_tire_utilization","1078","215.24718946308448"
"d2c3813db7e0dff8b888fd94d3aa4ab070fd6aa52217217dcc95b9dffa3d7fa7","ee45a364921c31756cc9a4b12e05c64408cdcbc003e6be6d022d1927e806c105","bridge_4","0","[0.05, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","closed_loop_pcd_clearance|maximum_slip_ratio","closed_loop_pcd_clearance|maximum_slip_ratio","1078","215.24718946308448"
"e64e538c273274fad03f023a2d6c76b1e355a8eaf70994a8a3d3887525cd1961","54fe17c63556f80db88427d6ca6bea59cb7db7b34b7b76f66bff7e4b52fb115c","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio","maximum_slip_ratio","1078","215.24718946308448"
"ebcdcf10ef53fc782a0f5e0f1db4aa436a4ef14fbac6c3088546290b19f7196e","210229b67c2528155f4c4296c0090b995af896942d4a664fde63b8f1f948fce1","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio","maximum_slip_ratio","1078","215.24718946308448"
"f1eb5ca3c5039efeae7fcdd1d9986c3f27553932545bdf0c137190b072ab607a","df3fd72b09dfb14529ab5b2df6feed00950da753b63c12c238e46a1ea6a126f6","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio|maximum_tire_utilization","maximum_slip_ratio|maximum_tire_utilization","1078","215.24718946308448"
