sample_key,classification,map,report_path_local,route_path_local,build_family,report_file_sha256,route_file_sha256,route_input_hash,hard_certificate_passed,hard_failure_reasons,completed,policy_id_or_thresholds,dynamic_pcd_clearance_m,maximum_slip_ratio,maximum_tire_utilization,maximum_abs_lateral_error_m,maximum_abs_heading_error_deg,vehicle_profile_id,vehicle_profile_fingerprint,axle_count,wheel_count,steer_ff_rad_second_dimension,vehicle_structure,identity_evidence,route_length_m,point_count,modified_time,source_machine,file_size_bytes,transfer_recommended,parse_status,error
6ef28b4eccb9fcf2,new_route_without_label,turnaround_2,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\turnaround_2.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,6ef28b4eccb9fcf2f36082c66435c8f4c5228c33b303ac097f52dc9c86d289f5,81a11b0b056c45e7fd7db774e2d2042472129ac10ca06faa2765920964dbfb25,,,,,,,,,,five_axis,c55daff1b698d1f4e5430ac09daa62a4231411205564f579dcecdbf8da0aaefb,,10,10,five_axis_explicit,explicit_profile_id,370.69821,1769,2026-08-23T17:21:26+08:00,LEGION,327035,true,ok,
33c4a3207aea9776,new_route_without_label,turnaround_4,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\turnaround_4.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,33c4a3207aea977608fa50f4787598ead9f0d25e14cbff1688796b2a6650b489,d9d59e6d7dc99aa2fd6cec35250a717b62f7bc318a1cd82b26f80ce9a62ad9e9,,,,,,,,,,five_axis,,,,,five_axis_explicit,explicit_profile_id,344.826049,1761,2026-08-24T04:20:26+08:00,LEGION,197371,true,ok,
e21033ab8b0e270c,new_route_without_label,turnaround_8796_template,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\turnaround_assets\turnaround_8796_template.npz,five_axis/race_guidance_control/turnaround_assets,,e21033ab8b0e270c30b9b389fb292de1c6882fee576762d7b4bc05cb5f98d58d,8c6702ea29ddf3ddd7bb9c140a5070cbc5e49bf1c54a0063667497e2ee79a86c,,,,,,,,,,five_axis,632d2241cc254d61cb4d1d39d68c16af10883df84cb3802790b66a69e8cf5835,,,12,five_axis_explicit,explicit_profile_id,260.642183,2197,2026-08-17T15:03:18+08:00,LEGION,137003,true,ok,
1ec33434bae3e9e5,new_route_without_label,turnaround_4_tuning,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\turnaround_4_tuning\performance_routes\turnaround_4.before_steering_smoothing_20260824.npz,five_axis/turnaround_4_tuning/performance_routes,,1ec33434bae3e9e573473f579110b2449c08beb70fa5f6ebe84068a7226d5537,fa3ebb67f732563d291d4123a9461f9fbf22623fb7d651da5d13639b774cb96b,,,,,,,,,,five_axis,,,,,five_axis_explicit,explicit_profile_id,344.826049,1761,2026-08-24T04:04:02+08:00,LEGION,195950,true,ok,
33c4a3207aea9776,,turnaround_4,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\turnaround_4_tuning\performance_routes\turnaround_4.npz,five_axis/turnaround_4_tuning/performance_routes,,33c4a3207aea977608fa50f4787598ead9f0d25e14cbff1688796b2a6650b489,d9d59e6d7dc99aa2fd6cec35250a717b62f7bc318a1cd82b26f80ce9a62ad9e9,,,,,,,,,,five_axis,,,,,five_axis_explicit,explicit_profile_id,344.826049,1761,2026-08-24T04:20:26+08:00,LEGION,197371,true,ok,
8750337ef091c655,new_route_without_label,turnaround_1,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\turnaround_8796_backend\race_guidance_control\routes_performance\unified\turnaround_1.npz,five_axis/turnaround_8796_backend/race_guidance_control/routes_performance,,8750337ef091c6551bf6724db22ddb8306bf52be2f6899de7c5c14f279097251,0f62f695fd0c6bebca4463c4a51dbb889a3923b9953711600533de6e15fed7f3,,,,,,,,,,,,,,,unknown_or_conflict,path_only,244.642183,2035,2026-08-17T15:03:18+08:00,LEGION,81525,true,ok,
fe99043c80742250,new_route_without_label,turnaround_1_dynamic,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\turnaround_8796_backend\race_guidance_control\routes_performance\unified\turnaround_1_dynamic.npz,five_axis/turnaround_8796_backend/race_guidance_control/routes_performance,,fe99043c80742250d8af82b318b64d223d7ec25343f9720d686505e49ee53115,ac723a6cc776a7e4aa6277ef3cc19a270bad679ce0f4bdafce213379d65fcd21,,,,,,,,,,,,,,12,six_axis_structural,steer_vector_dimension,260.642183,2197,2026-08-17T15:03:18+08:00,LEGION,136452,true,ok,
929f70daa74cfcd7,new_route_without_label,RoadC,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\RoadC.npz,six_axis/race_guidance_control/routes,,929f70daa74cfcd716e2a3be6df67e0ac8dc1791913911d662e3ec9edc71a999,31a380243c7b895ef2536773b5740b361c13e43f9d8c5b1a4b4785c90b06c5c0,,,,,,,,,,,,,,12,six_axis_structural,steer_vector_dimension,9666.58956,48334,2026-08-23T12:08:32+08:00,LEGION,5952115,true,ok,
04a1f40c70c74093,new_route_without_label,bridge_4,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\bridge_4.npz,six_axis/race_guidance_control/routes,,04a1f40c70c74093254541cfcfd4f546959f8a6bdd2f8da7846a492263dee2ba,97423122fb0405a566c1232932b382d79dddaa2e23195e211b45e97c92d98e63,,,,,,,,,,,,,,12,six_axis_structural,steer_vector_dimension,214.821007,1040,2026-08-23T15:14:48+08:00,LEGION,213801,true,ok,
67c5ef8c5a0ae4b0,new_route_without_label,cliff_3,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\cliff_3.npz,six_axis/race_guidance_control/routes,,67c5ef8c5a0ae4b0b60db980985d00d5c30a9028b476205429be995a3a6ee3b2,1768e780aaff14b5574df5598cacb243c8cbf7882fc1f0d4091fbde97da734a8,,,,,,,,,,six_axis,2e3182561ba5e89c98d721a253abf5be43e49567568c38d74246acf3ab860f79,,12,12,six_axis_explicit,explicit_profile_id,230.39999,1153,2026-08-24T06:36:06+08:00,LEGION,146592,true,ok,
