sample_id,route_file_sha256,map_id,vehicle_structure,vehicle_structure_evidence,vehicle_axis_count,label_status,true_label,route_id,match_status,candidate_file_available,npz_readable,source_machine,feature_version,exclusion_reason
UNMATCHED-SHANYU000-686263ae38bbdc69,686263ae38bbdc69640acadb2d4cd67923bd053101b6a3963fd145b89114377a,turnaround_1,five_axis,explicit,5,unmatched_candidate,,turnaround_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-68774109a4b42c5f,68774109a4b42c5f4c89bc2070397dcd5dbbdc9acd9b51bbc854916eef9baa1f,mounarea_1,five_axis,explicit,5,unmatched_candidate,,mounarea_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-68797080c06ea4c8,68797080c06ea4c820648021fb6932abb67f211a6b9059aaa22ec067f3220e9a,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6880604f810de24f,6880604f810de24fea0c5457886b128529f89ffff241db792838c44ed034d62d,overpass_1,six_axis,structural_inference,6,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6882bb32c818c22b,6882bb32c818c22b42e2f8d879ec13f36f6168231a05739b72cefe56d4cca9de,cross_1,five_axis,explicit,5,unmatched_candidate,,cross_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6893fc1dadc989fc,6893fc1dadc989fcc1bdc0f04666bc59f3bc1c9fef7af5bd1b6d5662b317707b,cliff_1,five_axis,explicit,5,unmatched_candidate,,cliff_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-689b86ebd1f7372a,689b86ebd1f7372a62809e31360dcb73d4208ca40898d4869390f3cf4432ade2,ramp_2,five_axis,explicit,5,unmatched_candidate,,ramp_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-68a38702621663d2,68a38702621663d2389240eeb437f59dc3843abdce9d55aecf6038f238f42cf5,ramp_2,five_axis,explicit,5,unmatched_candidate,,ramp_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-68aa50aec3c5db79,68aa50aec3c5db792d580ce301881d3a0620c540e562125fd10d7cf27e58d747,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-68aa60f38902ccf2,68aa60f38902ccf22510a19254e9cb855fa9ff76d21a5b24dbb7b9f7ca1c94f1,turnaround_4,six_axis,structural_inference,6,unmatched_candidate,,turnaround_4,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
